epoch,train_loss,val_loss
1,0.22846029714779242,1.4646808135755627
2,0.0821449191272749,1.2583125250459748
3,0.049584138531875065,1.0549820874900824
4,0.033892579588083255,1.287818071754217
5,0.03043316682420769,1.0829357499265047
6,0.019754000584055718,1.147464146639686
7,0.020457906446321623,1.0066296749049797
8,0.016307536527931103,1.1227952039201876
9,0.015597984286662387,1.0588808732194592
10,0.01705840426975077,1.116565198547739
11,0.013258296405087765,1.1230378359456414
12,0.013347691902278089,1.0974264008005516
13,0.013787583435738557,1.1742862777260599
