epoch,train_loss,val_loss
1,0.2540864553792696,1.6431279721187562
2,0.05774010727365844,1.2565274750880364
3,0.02560840718491052,1.0293551100039622
4,0.014187107929549376,0.89518832464902
5,0.00993264997515852,0.8201554324644219
6,0.008581259376737043,0.8001390649311361
7,0.007701374611075919,0.77057035804194
8,0.007190999759538835,0.7951100991627235
9,0.0062190038611573215,0.7180012667177444
10,0.006687272833292617,0.7793879514751357
11,0.005901397882553283,0.6934417612256116
12,0.005102047607866361,0.7049888865835133
13,0.00525708536588354,0.755138079934321
14,0.0054622635135800875,0.7402246477360936
15,0.005068935729229308,0.7022280925290293
16,0.004434348525568279,0.6800239402802877
17,0.004655214423301483,0.6956377724954759
18,0.004539740317053848,0.6567805006027422
19,0.004032937967215395,0.6424011926474382
20,0.0038599785720610895,0.6120556065721238
21,0.004007589252356219,0.6165617267152161
22,0.004445608619502501,0.6322179833054958
23,0.0038203266464590436,0.6151927022396454
24,0.0037473924124864617,0.6025668961276617
25,0.003598297807145986,0.6022488627035013
26,0.003347598036558147,0.6276544606396263
27,0.003860676329503277,0.6494009139274047
28,0.004170235178255672,0.5775384253040622
29,0.003569069657379786,0.5702707430268804
30,0.003470622568688429,0.5593939521809391
31,0.0035871874884163078,0.5821982188179391
32,0.003991117324882285,0.6168689305166482
33,0.003625081863566792,0.6268697669016546
34,0.003138317521293893,0.6309950539120889
35,0.0028823473970221946,0.6099135531590686
36,0.0031982331316899753,0.6633452410888692
