epoch,train_loss,val_loss
1,0.2683192970396608,1.6101856100098562
2,0.05694006664653946,1.2932390338537516
3,0.0274259027700234,1.0851794070755465
4,0.018477479682156916,0.9974565087699115
5,0.013854566917105234,1.0578831087088993
6,0.010626443325523533,0.9746252367106666
7,0.009491248910260191,0.9310976033161361
8,0.008011429941306185,0.9042864566373672
9,0.007848459319671076,0.8846089344579793
10,0.00808942358401653,0.9063178007023193
11,0.005904085610573499,0.8400767902914335
12,0.006460795888989723,0.9011134464347769
13,0.005894379133487267,0.8360251360000153
14,0.005261570989157343,0.8392995872092017
15,0.004540120560130545,0.8815825002051757
16,0.004801080414357497,0.8615023771650158
17,0.0049111092636226926,0.7983629011786044
18,0.004783337161490253,0.8636836342455354
19,0.004829061607827163,0.6953912542698423
20,0.004688503046054393,0.7647650899718949
21,0.005971437017586523,0.8633594915013029
22,0.005300563806055212,0.7361530282441111
23,0.0050962454582699325,0.8015813599824989
24,0.004962982878312591,0.8036140610871371
25,0.004778164231347067,0.7547818817410319
