model,target,epochs,accuracy,within_1_accuracy,mae_class_error,rmse_class_error,r2_ordinal,macro_f1
flownet_style,damage_level_ordinal_0_5,3,0.3076923076923077,0.7243589743589743,1.0384615659713743,1.3681355268509945,-0.2174797058105468,0.1197643324836307
raft_style,damage_level_ordinal_0_5,3,0.1538461538461538,0.6025641025641025,1.423076868057251,1.744956104633692,-0.9804892539978028,0.0973498964803312
cnn_velocity_segmentation_assisted,damage_level_ordinal_0_5,3,0.10256410256410256,0.36217948717948717,2.3044872283935547,2.716875065570319,-3.8011231422424316,0.0641522313537718
